longitude,latitude,price
113.204628,23.16426,3800
113.2047,23.164812,4799
113.204723,23.375738,1800
113.204723,23.375738,2000
113.204723,23.375738,2000
113.204723,23.375738,2300
113.206362,23.166211,2800
113.2070616,23.16505702,2500
113.2070616,23.16505702,2500
113.2070616,23.16505702,2700
113.2070616,23.16505702,3300
113.2070616,23.16505702,4300
113.207224,23.166228,3500
113.20737,23.409498,2500
113.208153,23.16857464,3800
113.208228,23.403184,750
113.208228,23.403184,750
113.208631,23.171474,1090
113.208631,23.171474,1290
113.208631,23.171474,1330
113.208631,23.171474,1490
113.208631,23.171474,1490
113.208631,23.171474,1690
113.208631,23.171474,4200
113.208631,23.171474,4200
113.20871,23.492601,2000
113.208723,23.40738,2000
113.208923,23.171648,1290
113.209397,23.399457,1700
113.209422,23.331891,750
113.209422,23.331891,750
113.209955,23.200235,5000
113.2100372,23.12266731,1500
113.21004,23.122891,2700
113.210144,23.122907,2699
113.21019,23.171715,4800
113.210517,23.171647,4100
113.210517,23.171647,4200
113.210517,23.171647,4300
113.210517,23.171647,4300
113.210517,23.171647,4500
113.210517,23.171647,4500
113.210525,23.122886,1999
113.210525,23.122886,2700
113.210525,23.122886,3000
113.210894,23.204136,3800
113.210894,23.204136,4300
113.210894,23.204136,7000
113.21093,23.08133,2500
113.21099,23.393748,6000
113.211033,23.119182,3500
113.2110596,23.16214561,3400
113.211074,23.118826,3600
113.211074,23.118826,4000
113.211147,23.1566,2500
113.2112,23.120883,2600
113.2112274,23.15118599,3500
113.211622,23.144816,4300
113.211763,23.151188,5000
113.211779,23.116566,1760
113.211779,23.116566,3700
113.211779,23.116566,5500
113.211807,23.119006,2500
113.211807,23.119006,2600
113.211891,23.116304,1760
113.211891,23.197783,5000
113.212044,23.116957,4800
113.212044,23.116957,5500
113.212255,23.116088,1490
113.212336,23.161355,2499
113.212336,23.161355,4000
113.212434,23.116167,1490
113.212434,23.116167,1560
113.212434,23.116167,3800
113.212623,23.116188,7500
113.212673,23.145925,4500
113.212727,23.117297,4800
113.212762,23.400584,1000
113.212762,23.400584,1000
113.213102,23.18756,3200
113.21315,23.122952,2800
113.213185,23.142577,4500
113.213302,23.144736,3000
113.213302,23.144736,3200
113.213302,23.144736,3600
113.213302,23.144736,3700
113.213302,23.144736,3800
113.213302,23.144736,4000
113.213302,23.144736,4000
113.213302,23.144736,4300
113.213302,23.144736,14000
113.213396,23.118078,1060
113.213396,23.118078,1060
113.213396,23.118078,1090
113.213396,23.118078,1430
113.213396,23.118078,1760
113.213396,23.118078,1790
113.213396,23.118078,1790
113.213396,23.118078,3800
113.213396,23.118078,5500
113.21342,23.154648,3600
113.213652,23.144516,3600
113.213652,23.144516,4200
113.213652,23.144516,4300
113.213652,23.144516,4500
113.213652,23.144516,4500
113.213652,23.144516,6000
113.213697,23.117675,1090
113.213714,23.116941,3000
113.213714,23.116941,3200
