longitude,latitude,weight
113.285888,23.13415,10
113.271877,23.144691,10
113.286573,23.129677,10
113.254986,23.130154,10
113.256813,23.123106,10
113.285516,23.136119,10
113.270901,23.115459,10
113.27969,23.117771,10
113.285196,23.123346,10
113.285105,23.1231,10
113.256076,23.123804,10
113.270863,23.115244,10
113.286645,23.126426,10
113.260758,23.118323,10
113.256397,23.137965,10
113.254839,23.135085,10
113.287606,23.131625,10
113.277529,23.116002,10
113.287058,23.125763,10
113.287164,23.1345,10
113.279931,23.143499,10
113.263688,23.115983,10
113.279974,23.143514,10
113.285245,23.121239,10
113.287351,23.135435,10
113.286955,23.124067,10
113.255197,23.138032,10
113.255197,23.138032,10
113.255205,23.138073,10
113.255135,23.137972,10
113.254741,23.137276,10
113.287671,23.135445,10
113.288596,23.128758,10
113.273754,23.113999,10
113.288472,23.127393,10
113.267068,23.114062,10
113.284465,23.141048,10
113.288731,23.132596,10
113.288292,23.125519,10
113.288172,23.12465,10
113.288254,23.124759,10
113.284562,23.141803,10
113.284569,23.1418,10
113.258062,23.117658,10
113.261146,23.115449,10
113.284287,23.142691,10
113.289175,23.125443,10
113.289195,23.125463,10
113.271477,23.112523,10
113.252448,23.136135,10
113.265167,23.113027,10
113.265514,23.147599,10
113.290188,23.127206,10
113.289628,23.135684,10
113.277121,23.147452,10
113.281724,23.115068,10
113.263204,23.113415,10
113.260572,23.146221,10
113.256939,23.116689,10
113.250496,23.131799,10
113.266111,23.111997,10
113.284033,23.115873,10
113.281589,23.146403,10
113.290646,23.124958,10
113.263906,23.112223,10
113.268294,23.110983,10
113.255084,23.117283,10
113.249555,23.129259,10
113.292095,23.130264,10
113.292099,23.131054,10
113.286812,23.143246,10
113.253273,23.118945,10
113.286817,23.143345,10
113.274665,23.110867,10
113.249346,23.131282,10
113.249575,23.133585,10
113.266513,23.110859,10
113.289638,23.139847,10
113.266411,23.110769,10
113.254204,23.116974,10
113.288809,23.141878,10
113.291839,23.124269,10
113.288757,23.142032,10
113.283116,23.112934,10
113.289988,23.141177,10
113.293186,23.12742,10
113.252294,23.11813,10
113.293338,23.127503,10
113.260779,23.111467,10
113.290813,23.140537,10
113.247808,23.130305,10
113.292164,23.138189,10
113.267009,23.109288,10
113.247507,23.129849,10
113.291903,23.121153,10
113.294079,23.12881,10
113.254371,23.145799,10
113.284855,23.147715,10
113.254329,23.145858,10
113.247116,23.130294,10
113.276307,23.109082,10
113.254021,23.145954,10
113.269367,23.108191,10
113.294745,23.128176,10
113.294789,23.128223,10
113.254828,23.113585,10
113.254819,23.113569,10
113.286701,23.147019,10
113.260901,23.109792,10
113.295086,23.128568,10
113.247174,23.13582,10
113.248459,23.13937,10
113.24633,23.129303,10
113.263236,23.10882,10
113.291785,23.118603,10
113.262739,23.108934,10
113.248334,23.139407,10
113.28109,23.150839,10
113.277039,23.108236,10
113.246744,23.13646,10
113.245806,23.131033,10
113.253882,23.113223,10
113.295709,23.133041,10
113.281135,23.109192,10
113.282057,23.109583,10
113.260649,23.151433,10
113.253706,23.113225,10
113.246531,23.123842,10
113.281395,23.15136,10
113.254163,23.112718,10
113.281966,23.151234,10
113.288922,23.113625,10
113.289084,23.113589,10
113.270957,23.106533,10
113.26095,23.15228,10
113.296642,23.131575,10
113.261039,23.152324,10
113.284785,23.110193,10
113.260861,23.152312,10
113.291865,23.144268,10
113.266097,23.153983,10
113.246483,23.120953,10
113.263901,23.153696,10
113.297283,23.129203,10
113.282433,23.108299,10
113.265517,23.154363,10
113.256373,23.109508,10
113.264925,23.106231,10
113.297024,23.124837,10
113.286226,23.150517,10
113.286235,23.150529,10
113.244139,23.13387,10
113.245304,23.122097,10
113.245304,23.122097,10
113.283159,23.152402,10
113.289627,23.148174,10
113.268788,23.105378,10
113.287107,23.110319,10
113.246921,23.1184,10
113.262527,23.154034,10
113.24692,23.118329,10
113.270763,23.155256,10
113.285182,23.109022,10
113.24909,23.1454,10
113.286115,23.109534,10
113.281252,23.107052,10
113.269466,23.155424,10
113.279859,23.106459,10
113.243681,23.134142,10
113.298388,23.130173,10
113.2984,23.130721,10
113.243698,23.135291,10
113.259535,23.107002,10
113.256095,23.151836,10
113.244062,23.123561,10
113.279715,23.106085,10
113.260155,23.106672,10
113.271437,23.104672,10
113.245335,23.119799,10
113.244237,23.122187,10
113.298822,23.128532,10
113.274374,23.155903,10
113.246109,23.117861,10
113.274824,23.155885,10
113.290727,23.11186,10
113.262102,23.155122,10
113.25504,23.108513,10
113.245228,23.118682,10
113.297056,23.140592,10
